Time,Left,U
3165,14096,82.3194
3177,14080,83.4672
3189,14032,84.5651
3201,14048,85.5974
3213,14032,86.5492
3225,13936,87.4067
3237,13872,88.1578
3249,13824,88.7915
3261,13792,89.2988
3273,13760,89.6723
3285,13712,89.9067
3297,13696,89.9986
3309,13696,89.9467
3321,13664,89.7518
3333,13632,89.4166
3345,13616,88.9459
3357,13584,88.3466
3369,13552,87.6273
3381,13552,86.7982
3394,13536,85.7901
3406,13504,84.7725
3418,13472,83.6862
3430,13520,82.5468
3442,13552,81.3709
3454,13552,80.1752
3466,13568,78.977
3478,13600,77.7935
3490,13632,76.6418
3502,13648,75.5383
3514,13648,74.499
3526,13680,73.5389
3538,13712,72.6716
3550,13728,71.9098
3562,13776,71.2643
3574,13808,70.7445
3586,13856,70.3578
3598,13888,70.1098
3610,13952,70.004
3622,14000,70.042
3634,14032,70.2232
3646,14064,70.5451
3658,14080,71.0029
3670,14096,71.5901
3682,14112,72.2983
3694,14112,73.1172
3706,14080,74.0352
3719,14064,75.126
3731,14064,76.2063
3743,14096,77.3412
3755,14128,78.5144
3767,14128,79.7089
3779,14128,80.9076
3791,14112,82.0933
3803,14096,83.2488
3815,14064,84.3577
3827,14032,85.4038
3839,14000,86.3722
3851,13968,87.249
3863,13920,88.0215
3875,13888,88.6786
3887,13840,89.211
3899,13808,89.6108
3911,13776,89.8724
3923,13728,89.992
3935,13696,89.9679
3947,13696,89.8005
3959,13648,89.4921
3971,13632,89.0471
3983,13600,88.4721
3995,13568,87.7751
4007,13536,86.9664
4019,13536,86.0575
4031,13504,85.0614
4043,13472,83.9926
4055,13488,82.8663
4067,13520,81.6988
4079,13552,80.5068
4091,13568,79.3076
4103,13600,78.1183
4115,13616,76.9561
4127,13632,75.8377
4139,13664,74.7791
4151,13680,73.7957
4163,13712,72.9014
4175,13744,72.1093
4187,13776,71.4306
4199,13808,70.8752
4211,13856,70.4511
4223,13888,70.1643
4235,13968,70.0189
4247,14000,70.0171
4259,14032,70.1589
4271,14048,70.4422
4283,14080,70.863
4295,14096,71.4152
4307,14096,72.0909
4319,14112,72.8803
4331,14080,73.7721
4343,14064,74.7536
4355,14064,75.8104
4367,14112,76.9275
4379,14128,78.0889
4391,14128,79.2777
4403,14128,80.4768
4415,14112,81.6692
4427,14080,82.8375
4439,14064,83.965
4451,14032,85.0355
4463,14000,86.0336
4475,13968,86.9448
4487,13936,87.7562
4499,13888,88.4561
4511,13856,89.0343
4523,13808,89.4826
4535,13776,89.7945
4547,13744,89.9655
4559,13712,89.9932
4571,13680,89.8772
4583,13648,89.6191
4595,13616,89.2226
4607,13584,88.6935
4619,13552,88.0394
4631,13552,87.2696
4643,13536,86.3953
4655,13520,85.429
4667,13488,84.3847
4679,13472,83.2772
4691,13504,82.1226
4703,13552,80.9375
4715,13568,79.7389
4727,13616,78.5441
4739,13632,77.3702
4751,13632,76.2341
4763,13648,75.1522
4775,13680,74.14
4787,13712,73.2121
4799,13760,72.3819
4811,13792,71.6611
4823,13824,71.0604
4835,13856,70.5882
4847,13904,70.2514
4859,13920,70.0547
4871,14000,70.0012
4883,14032,70.0914
4895,14048,70.3242
4907,14080,70.6961
4919,14096,71.2018
4931,14112,71.8341
4943,14128,72.5838
4955,14112,73.4402
4967,14080,74.3909
4979,14064,75.4223
4991,14064,76.5196
5004,14128,77.7642
