Time,Left,U
3620,14064,75.0128
3632,14064,75.0916
3644,14080,75.2409
3656,14064,75.4587
3668,14016,75.7418
3680,14016,76.0861
3692,14016,76.4868
3704,14016,76.9379
3716,14064,77.4331
3728,14096,77.9653
3740,14112,78.5266
3752,14144,79.1092
3764,14144,79.7046
3776,14096,80.3043
3788,14032,80.8995
3800,13984,81.4818
3812,13904,82.0429
3824,13840,82.5745
3837,13792,83.1084
3849,13744,83.5549
3861,13696,83.9502
3873,13664,84.2888
3885,13648,84.5656
3897,13648,84.7768
3909,13648,84.9193
3921,13648,84.991
3933,13648,84.991
3945,13664,84.9191
3957,13648,84.7766
3969,13664,84.5653
3981,13632,84.2883
3993,13632,83.9497
4005,13616,83.5542
4017,13552,83.1077
4029,13536,82.6164
4041,13536,82.0876
4053,13536,81.5286
4065,13568,80.9478
4077,13616,80.3532
4089,13744,79.7536
4101,13616,79.1576
4113,13632,78.5736
4125,13648,78.0102
4137,13664,77.4754
4149,13680,76.9769
4161,13712,76.5219
4173,13744,76.1169
4185,13744,75.7677
4197,13776,75.4794
4209,13792,75.2562
4221,13808,75.1012
4233,13840,75.0166
4245,13856,75.0037
4257,13856,75.0627
4269,13920,75.1927
4281,13920,75.3918
4293,13936,75.6572
4305,13920,75.985
4317,13952,76.3707
4329,13936,76.8085
4341,13904,77.2922
4353,13904,77.8148
4365,13904,78.3689
4377,13904,78.9465
4389,13920,79.5392
4401,13936,80.1385
4413,13968,80.7358
4425,13984,81.3226
4437,13968,81.8903
4449,13984,82.4309
4461,13952,82.9364
4473,13936,83.3998
4485,13920,83.8142
4497,13888,84.1738
4509,13872,84.4734
4521,13824,84.7086
4533,13792,84.8761
4545,13760,84.9734
4557,13760,84.9993
4569,13728,84.9532
4581,13712,84.8359
4593,13696,84.649
4605,13648,84.3953
4617,13632,84.0784
4629,13600,83.7028
4641,13600,83.2739
4653,13600,82.7979
4665,13600,82.2818
4677,13600,81.7327
4689,13600,81.1588
4701,13600,80.5682
4713,13600,79.9695
4725,13632,79.3711
4737,13648,78.7818
4749,13664,78.2101
4761,13696,77.664
4773,13712,77.1516
4785,13728,76.6802
4797,13744,76.2565
4810,13744,75.8584
4822,13776,75.5528
4834,13808,75.3112
4846,13824,75.1371
4858,13872,75.0328
4870,13904,75.0001
4882,13936,75.0392
4894,13952,75.1497
4906,13968,75.3299
4918,13984,75.5774
4930,13968,75.8884
4942,13920,76.2585
4954,13920,76.6825
4966,13920,77.1542
4978,13920,77.6668
4990,13920,78.213
5002,13920,78.7849
