Time,Left,U
3179,14000,81.827
3191,13984,82.3711
3203,13952,82.881
3215,13936,83.3495
3227,13920,83.7698
3239,13904,84.1359
3251,15712,84.4425
3263,14592,84.6852
3275,14160,84.8606
3287,13872,84.966
3302,13408,84.9972
3316,13408,84.9251
3328,13408,84.7865
3340,13408,84.579
3352,16224,84.3057
3364,13792,83.9705
3376,13584,83.5781
3388,13616,83.1343
3400,13584,82.6454
3412,13568,82.1185
3424,13600,81.5611
3436,13632,80.9812
3448,13648,80.3872
3460,13664,79.7877
3472,13680,79.1912
3484,13680,78.6063
3496,13696,78.0415
3508,13712,77.5048
3520,13728,77.0041
3532,13744,76.5464
3544,13760,76.1384
3556,13776,75.786
3568,13792,75.4941
3580,13808,75.2671
3592,13840,75.1081
3604,13856,75.0195
3616,13872,75.0025
3628,13888,75.0574
3640,13904,75.1834
3652,13936,75.3787
3664,13936,75.6404
3676,13952,75.9648
3688,13920,76.3473
3700,13904,76.7823
3712,13888,77.2636
3724,13904,77.7842
3736,13904,78.3368
3748,13904,78.9132
3760,13952,79.5052
3772,13968,80.1044
3784,13984,80.7021
3796,13984,81.2897
3808,13952,81.8587
3820,13920,82.401
3832,13888,82.9088
3844,13840,83.3747
3856,13792,83.7921
3868,13776,84.155
3880,13760,84.458
3892,13712,84.697
3904,13680,84.8684
3916,13680,84.9698
3928,13664,84.9997
3940,13648,84.9577
3952,13632,84.8445
3964,13616,84.6615
3976,13584,84.4114
3988,13584,84.098
4000,13536,83.7256
4012,13520,83.2996
4024,13520,82.8261
4036,13520,82.312
4048,13520,81.7647
4061,13552,81.1433
4073,13616,80.5524
4085,13632,79.9535
4097,13680,79.3553
4109,13728,78.7664
4121,13792,78.1952
4133,13856,77.65
4145,13888,77.1385
4157,13936,76.6683
4169,13984,76.2459
4181,14016,75.8776
4193,14032,75.5685
4205,14048,75.3232
4217,14048,75.1451
4229,14032,75.0369
4241,14000,75
4253,14000,75.0351
4265,14000,75.1415
4277,14000,75.3179
4289,14000,75.5616
4301,14000,75.8691
4313,14000,76.236
4325,14000,76.6571
4337,14000,77.1263
4349,14000,77.6367
4361,14000,78.1812
4373,14048,78.7519
4385,14064,79.3404
4397,14064,79.9385
4409,14064,80.5375
4421,14064,81.1287
4433,14048,81.7037
4445,14032,82.2542
4457,14000,82.7723
4469,13984,83.2505
4481,13952,83.6819
4493,13920,84.0604
4505,13904,84.3805
4517,13888,84.6376
4529,13856,84.8279
4541,13824,84.9489
4553,13808,84.9987
4565,13760,84.9765
4577,13744,84.8828
4589,13728,84.7189
4601,13712,84.4871
4613,13696,84.1908
4626,13680,83.8019
4638,13648,83.3858
4650,13632,82.921
4662,13632,82.4142
4674,13632,81.8727
4686,13616,81.3042
4698,13632,80.717
