Time,Left,U
3181,13280,77.6411
3193,13296,76.9278
3205,13312,76.2185
3217,13344,75.5141
3229,13376,74.8155
3241,13392,74.1236
3253,13424,73.4393
3265,13440,72.7635
3277,13472,72.0972
3289,13520,71.441
3301,13648,70.796
3313,13680,70.1628
3325,13728,69.5425
3337,13776,68.9356
3349,13824,68.3432
3361,13888,67.7658
3373,13952,67.2042
3385,14016,66.6593
3397,14064,66.1316
3409,14128,65.6219
3421,14176,65.1309
3433,14240,64.6591
3445,14288,64.2072
3457,14352,63.7758
3470,14384,63.3321
3482,14416,62.9451
3494,14448,62.5801
3505,14496,62.2654
3517,14528,61.9441
3529,14560,61.6462
3542,14608,61.3504
3554,14624,61.1024
3566,14672,60.879
3578,14688,60.6803
3590,14736,60.5067
3602,14768,60.3583
3614,14784,60.2354
3626,14800,60.1381
3638,14816,60.0665
3650,14832,60.0208
3662,14864,60.0009
3674,14864,60.007
3686,14880,60.039
3698,14896,60.0968
3710,14912,60.1804
3722,14912,60.2897
3734,14928,60.4246
3746,14928,60.5848
3758,14944,60.7702
3770,14912,60.9805
3782,14928,61.2155
3794,14928,61.4748
3806,14928,61.7581
3818,14928,62.065
3830,14928,62.3952
3842,14928,62.7482
3854,14928,63.1235
3866,14976,63.5207
3878,14976,63.9393
3890,14976,64.3787
3902,14960,64.8383
3914,14960,65.3176
3926,14928,65.8159
3938,14896,66.3326
3950,14880,66.867
3962,14784,67.4184
3974,14784,67.9861
3986,14768,68.5694
3998,14768,69.1675
4010,14752,69.7796
4022,14752,70.405
4034,14720,71.0428
4046,14688,71.6922
4058,14656,72.3524
4070,14624,73.0225
4082,14608,73.7016
4094,14576,74.3889
4106,14560,75.0835
4118,14544,75.7844
4130,14512,76.4908
4142,14480,77.2018
4154,14448,77.9164
4166,14400,78.6337
4178,14368,79.3527
4190,14352,80.0726
4202,14336,80.7924
4214,14288,81.5111
4226,14256,82.228
4239,14224,83.0012
4251,14176,83.711
4263,14128,84.4159
4275,14096,85.1151
4287,14064,85.8077
4299,14032,86.4928
4311,14000,87.1694
4323,13968,87.8368
4335,13920,88.494
4347,13872,89.1402
4359,13872,89.7745
4371,13824,90.3962
4383,13776,91.0044
4395,13728,91.5984
4407,13712,92.1773
4419,13680,92.7404
4431,13648,93.2871
4443,13616,93.8165
4455,13584,94.328
4467,13584,94.821
4479,13568,95.2947
4491,13552,95.7486
4503,13520,96.1821
4515,13504,96.5947
4527,13504,96.9857
4539,13504,97.3547
4551,13456,97.7013
4563,13440,98.0249
4575,13408,98.3251
4587,13392,98.6016
4599,13376,98.854
4611,13344,99.0819
4623,13328,99.2852
4635,13312,99.4634
4647,13280,99.6164
4659,13248,99.744
4671,13216,99.846
4683,13184,99.9223
4695,13152,99.9728
4707,13104,99.9974
4719,13056,99.9961
4731,13024,99.9688
4743,12992,99.9157
4755,12960,99.8368
4767,12928,99.7322
4779,12896,99.602
4791,12864,99.4464
4803,12848,99.2656
4815,12848,99.0598
4827,12832,98.8294
4839,12832,98.5745
4851,12832,98.2956
4863,12816,97.993
4875,12816,97.667
4887,12800,97.3182
4900,12768,96.9149
4912,12752,96.5199
4924,12752,96.1034
4936,12752,95.6661
4948,12752,95.2085
4961,12768,94.6905
4973,12752,94.1925
4985,12752,93.6761
4997,12752,93.142
5009,12832,92.5908
5021,12848,92.0234
5033,12864,91.4403
5045,12880,90.8425
5057,12880,90.2306
5069,12880,89.6054
5081,12880,88.9678
5093,12912,88.3186
5105,12944,87.6585
5117,12976,86.9886
5129,12992,86.3096
5141,13008,85.6224
5153,13024,84.928
5165,13056,84.2271
5177,13088,83.5208
5189,13104,82.8099
5201,13136,82.0954
5213,13152,81.3782
5225,13184,80.6591
5237,13216,79.9393
5249,13216,79.2195
5261,13248,78.5007
5273,13280,77.7838
5285,13296,77.0698
5297,13328,76.3597
5310,13360,75.5957
5322,13392,74.8963
5334,13408,74.2036
5346,13440,73.5184
5358,13456,72.8417
5370,13504,72.1741
5382,13520,71.5168
5394,13568,70.8704
5406,13600,70.2358
5418,13632,69.6139
5430,13664,69.0055
5442,13712,68.4113
5454,13744,67.8321
5466,13792,67.2687
5478,13856,66.7218
5490,13888,66.1921
5502,13936,65.6803
5514,14000,65.187
5526,14064,64.7129
5538,14096,64.2587
5550,14144,63.8248
5562,14192,63.412
5574,14240,63.0206
5586,14288,62.6512
