Time,Left,Right,U
1504,4448,13328,80.2746
1527,4496,13360,82.3186
1550,4448,13120,85.9596
1573,4480,13008,90.4406
1595,4512,13184,94.6539
1617,4464,13296,97.9806
1638,4496,13104,99.7441
1660,4512,14192,99.7734
1682,4464,13968,97.941
1704,4480,13904,94.5958
1726,4480,13776,90.3751
1747,4496,13824,86.2678
1769,4464,14480,82.6716
1791,4496,13792,80.4715
1813,4496,13408,80.0866
1835,4464,13104,81.5901
1856,4480,12944,84.5272
1878,4496,12912,88.6134
1900,4464,13040,92.9637
1922,4480,13232,96.7494
1944,4496,13184,99.2494
1966,4464,13712,99.9875
1987,4480,14464,98.9153
2009,4512,13984,96.1367
2031,4448,13872,92.1892
2053,4480,13840,87.8246
2075,4512,14688,83.8744
2096,4480,13872,81.1837
2118,4448,13456,80.0133
2140,4512,13104,80.7452
2162,4480,12928,83.2402
2184,4464,12912,87.0229
2206,4496,13088,91.3727
2227,4496,13008,95.2924
2249,4464,13104,98.4023
2271,4480,13328,99.9116
2293,4512,13808,99.5327
2315,4464,13952,97.3379
2336,4464,13936,93.93
2358,4496,13952,89.639
2380,4480,14112,85.4167
2402,4464,13840,82.0676
2424,4496,13488,80.2296
2446,4480,13168,80.2528
2467,4448,13040,82.0109
2489,4496,12944,85.3336
2511,4496,12960,89.5453
2533,4448,13184,93.8436
2555,4480,13008,97.4097
2577,4496,13072,99.5643
2598,4464,13696,99.9236
2620,4480,14224,98.4527
2642,4496,13968,95.3717
2664,4480,13888,91.2673
2686,4464,14016,86.9216
2707,4496,14016,83.3095
2729,4480,13536,80.7811
2751,4464,13200,80.0089
2773,4480,13024,81.1399
2795,4496,12992,83.9587
2817,4448,12928,87.9284
2838,4480,13040,92.0976
2860,4496,13280,96.0625
2882,4464,13040,98.8724
2904,4480,13424,99.9922
2926,4512,14352,99.2085
2948,4464,13984,96.6706
2969,4464,13856,93.0531
2991,4496,13840,88.7062
3013,4480,14016,84.6059
3035,4464,14176,81.5331
3057,4496,13552,80.0732
3079,4480,13168,80.5043
3100,4464,13024,82.6082
3122,4496,12944,86.181
3144,4496,12992,90.4813
3166,4464,13040,94.6899
3188,4480,13136,98.0051
3210,4512,13200,99.7954
3231,4464,14736,99.7647
3253,4464,14032,97.9161
3275,4496,13952,94.5596
3297,4448,13808,90.3344
3319,4480,14640,86.0455
3340,4496,14128,82.644
3362,4480,13648,80.4593
3384,4464,13264,80.092
3406,4480,13088,81.6122
3428,4480,12992,84.7302
3449,4480,12800,88.6537
3471,4480,13216,93.0026
3493,4496,13248,96.7794
3515,4464,13120,99.2648
3537,4480,14496,99.9853
3558,4496,13984,98.8967
3580,4464,13952,96.1045
3602,4464,13968,92.1494
3624,4512,14848,87.7848
3646,4480,13920,83.8423
3667,4448,13552,81.1646
3689,4496,13264,80.0112
3711,4480,13168,80.7607
3733,4464,13104,83.2702
3755,4480,12992,87.0618
3777,4480,13264,91.413
3798,4464,13264,95.3269
3820,4480,12960,98.4243
3842,4512,13824,99.9169
3864,4464,13872,99.5203
3886,4464,13872,97.3102
3908,4480,13744,93.7075
3929,4496,13600,89.5983
3951,4464,14816,85.3806
3973,4496,13872,82.0429
3995,4480,13504,80.221
4017,4464,13184,80.2619
4038,4480,13088,82.0355
4060,4496,12992,85.3697
4082,4448,12992,89.586
4104,4480,13104,93.8812
4126,4512,13232,97.437
4147,4464,13120,99.5166
4169,4480,14352,99.9185
4191,4496,13968,98.4309
4213,4464,13904,95.3373
4235,4464,13808,91.2269
4256,4512,13904,87.0735
4279,4480,14496,83.1326
4301,4464,13808,80.6905
4323,4496,13408,80.0219
4344,4480,13120,81.1589
4366,4448,12976,83.9913
4388,4496,12944,87.9683
4410,4496,13040,92.3324
4432,4464,13232,96.2521
4454,4480,13200,98.9809
4475,4512,13616,99.9937
4497,4480,14384,99.1926
4519,4464,14016,96.6402
4541,4496,13824,92.823
4563,4480,14576,88.4679
4585,4464,14256,84.4047
4606,4496,13696,81.5115
4628,4480,13296,80.0683
4650,4448,13136,80.5172
4672,4480,13120,82.7725
4694,4496,13056,86.4046
4716,4464,13216,90.7216
4737,4480,13200,94.7258
4759,4496,13024,98.0295
4781,4480,13504,99.8035
4803,4480,13856,99.71
4825,4496,13856,97.7668
4847,4480,13776,94.344
4868,4480,13920,90.2937
4890,4512,14816,86.0081
4912,4480,14000,82.4831
4934,4448,13616,80.3899
4955,4496,13280,80.0976
4977,4480,13072,81.6345
4999,4464,12960,84.7649
5021,4480,13120,88.8926
