Time,Left,Right,U
1503,4448,13440,70.4599
1526,4496,13984,74.3842
1549,4480,13104,81.555
1572,4464,13120,90.4814
1595,4512,13072,99.3078
1618,4464,13008,106.199
1641,4496,13440,109.723
1664,4496,13712,109.146
1686,4480,14272,104.86
1707,4480,15408,98.1099
1729,4512,14640,89.5504
1751,4464,14592,81.0766
1773,4480,14016,74.3027
1795,4496,13504,70.519
1817,4480,13152,70.4464
1838,4464,12688,73.8593
1860,4496,12608,80.4271
1882,4496,12560,88.8185
1904,4464,12320,97.4349
1926,4480,12928,104.635
1947,4496,13536,108.921
1969,4464,13760,109.879
1991,4480,14000,107.05
2013,4496,14944,100.972
2035,4480,14912,92.8048
2057,4464,15072,84.1031
2078,4480,14832,76.8229
2100,4480,14176,71.6696
2122,4464,13536,70.0081
2144,4496,13040,72.1551
2166,4480,12736,77.7014
2187,4464,12864,85.2013
2209,4496,12368,93.9284
2231,4480,12848,101.907
2253,4464,13552,107.617
2275,4480,13616,109.972
2297,4496,13904,108.522
2318,4464,14544,103.835
2340,4480,15728,96.3651
2362,4496,14880,87.683
2384,4480,14672,79.4423
2406,4480,14384,73.2127
2427,4496,13648,70.2388
2449,4480,13088,70.8085
2471,4464,12896,75.0342
2493,4496,12864,82.1108
2515,4480,12336,90.6902
2537,4480,12896,99.1382
2558,4480,13536,105.598
2580,4496,13152,109.444
2602,4464,13424,109.586
2624,4480,14272,105.997
2646,4496,14256,99.3609
2668,4480,14496,90.9412
2689,4480,14992,82.7132
2711,4496,14320,75.474
2733,4480,13680,71.0019
2755,4464,13136,70.149
2777,4496,12688,73.0776
2799,4480,12528,79.2298
2820,4464,12608,87.0376
2842,4480,12448,95.7446
2864,4496,12624,103.357
2886,4464,13168,108.425
2908,4480,13568,109.984
2929,4496,13952,107.916
2951,4480,14496,102.424
2973,4480,14816,94.5646
2995,4496,14672,85.8359
3017,4480,14224,77.9004
3039,4480,13872,72.2699
3061,4480,13440,70.0169
3083,4464,13072,71.5706
3104,4480,12624,76.3401
3126,4480,12432,83.8635
3148,4496,12880,92.5559
3170,4480,12432,100.761
3192,4496,12912,106.917
3214,4480,13472,109.85
3235,4464,14032,109.122
3257,4480,14496,104.805
3279,4496,14832,97.6675
3301,4464,15232,89.0693
3323,4480,15104,80.6483
3345,4496,14496,74.0089
3366,4480,13904,70.5007
3388,4464,13200,70.4637
3410,4496,12784,74.1483
3432,4480,12640,80.8525
3454,4480,12496,89.2994
3475,4496,12496,97.5105
3497,4480,13104,104.69
3519,4464,13472,109.072
3541,4496,13808,109.82
3563,4480,14144,106.793
3585,4464,14880,100.567
3607,4480,14896,92.3273
3628,4496,14784,84.0253
3650,4464,14480,76.4646
3672,4480,13936,71.4823
3694,4496,13296,70.0276
3716,4480,12880,72.3776
3738,4464,12848,78.0846
3759,4512,12400,85.6701
3781,4480,12384,94.3993
3803,4464,13056,102.29
3825,4496,13216,107.84
3847,4496,13264,109.992
3869,4480,13840,108.335
3891,4480,14272,103.185
3912,4496,14336,95.9069
3934,4464,14720,87.2055
3956,4480,14848,79.0364
3978,4496,14192,72.9559
4000,4464,13440,70.1222
4022,4464,12960,71.0752
4043,4496,12672,75.3579
4065,4464,12896,82.5554
4087,4480,12320,91.1712
4109,4496,12464,99.5638
4131,4480,13008,106.135
4153,4464,13536,109.632
4174,4496,13568,109.483
4196,4496,14032,105.704
4218,4480,15616,98.9327
4240,4480,14832,90.46
4262,4496,14384,81.8996
4284,4464,14336,74.8824
4305,4464,13856,70.857
4327,4496,13216,70.2134
4349,4480,12848,73.339
4371,4480,12656,79.6386
4393,4496,12688,87.9119
4415,4496,12336,96.583
4436,4464,12976,103.712
4458,4496,13488,108.607
4480,4480,13824,109.958
4502,4448,13952,107.507
4524,4512,14784,101.721
4546,4496,15776,93.7023
4567,4464,14832,85.3662
4589,4480,14608,77.5206
4611,4496,14368,72.0522
4633,4464,13616,70.0029
4655,4480,13040,71.7629
4676,4496,12752,76.6957
4698,4480,12112,84.3235
4720,4480,12640,93.0327
4742,4496,12736,101.164
4764,4480,13088,107.169
4786,4480,13648,109.903
4807,4480,14080,108.976
4829,4496,14304,104.477
4851,4464,14624,97.2206
4873,4496,15312,88.5886
4895,4496,14736,80.2255
4917,4464,14240,73.7244
4938,4480,13616,70.3993
4960,4496,13072,70.5724
4982,4480,12864,74.4464
5004,4464,12608,81.2833
