Time,Left,Right,U
0,4432,14928,110
23,4464,14928,111.378
46,4480,14960,112.744
69,4496,14976,114.088
92,4448,15024,115.396
115,4480,15072,116.659
138,4480,15184,117.866
160,4448,15248,118.958
182,4480,15360,119.981
204,4480,15440,120.926
226,4448,15520,121.787
247,4480,15616,122.524
269,4496,15664,123.201
291,4464,15728,123.776
313,4464,15808,124.244
335,4496,15872,124.602
357,4464,15936,124.847
379,4464,15968,124.977
400,4480,15984,124.994
422,4480,15984,124.897
444,4448,15984,124.685
466,4496,15984,124.36
488,4480,16000,123.923
509,4464,15984,123.406
532,4480,16000,122.731
553,4480,16000,122.021
575,4464,16016,121.186
597,4464,16016,120.264
619,4496,16016,119.263
641,4464,16000,118.19
662,4464,15904,117.107
684,4496,15776,115.918
706,4464,15664,114.684
728,4480,15600,113.414
750,4480,15488,112.117
772,4480,15392,110.804
793,4448,15312,109.544
815,4496,15264,108.228
837,4496,15200,106.926
859,4464,15136,105.647
881,4480,15024,104.403
902,4496,14864,103.255
924,4464,14688,102.103
946,4464,14544,101.013
968,4496,14448,99.9924
990,4464,14400,99.0491
1012,4464,14400,98.1906
1033,4496,14384,97.4563
1055,4480,14288,96.7819
1077,4448,14208,96.2099
1099,4464,14112,95.7445
1121,4496,14016,95.3895
1142,4448,13984,95.1561
1164,4480,13936,95.0238
1186,4496,13888,95.0075
1208,4464,13872,95.1072
1230,4448,13856,95.3221
1252,4496,13824,95.6506
1275,4464,13824,96.1128
1298,4480,13824,96.6924
1320,4480,13840,97.3522
1343,4448,13856,98.1465
1365,4480,13856,99.0003
1387,4480,13872,99.9391
1409,4464,13872,100.956
1431,4464,13968,102.043
1453,4496,14064,103.191
1475,4464,14208,104.392
1497,4464,14288,105.636
1518,4496,14368,106.856
1540,4464,14432,108.157
1562,4448,14496,109.472
1584,4496,14544,110.792
1606,4480,14640,112.105
1627,4448,14752,113.344
1650,4480,14912,114.673
1673,4464,15040,115.963
1695,4480,15152,117.149
1718,4496,15232,118.331
1741,4464,15296,119.441
1764,4464,15424,120.472
1785,4496,15504,121.336
1807,4464,15616,122.156
1829,4448,15664,122.881
1851,4496,15744,123.507
1873,4480,15808,124.028
1894,4448,15872,124.424
1916,4480,15920,124.73
1938,4480,15968,124.922
1960,4448,15984,124.999
1982,4480,16000,124.959
2003,4480,16000,124.813
2025,4448,16000,124.548
2047,4464,16016,124.171
2069,4496,16000,123.684
2091,4464,16000,123.091
2112,4464,16016,122.43
2134,4496,16016,121.645
2156,4480,16032,120.768
2178,4448,16048,119.809
2200,4496,16048,118.774
2221,4496,16016,117.722
2243,4464,15888,116.562
2265,4480,15744,115.351
2287,4496,15632,114.099
2309,4464,15536,112.815
2330,4464,15456,111.569
2352,4496,15376,110.252
2374,4480,15264,108.933
2396,4448,15168,107.622
2418,4496,15072,106.329
2439,4480,14992,105.122
2461,4448,14912,103.894
2483,4480,14848,102.714
2505,4480,14768,101.59
2527,4448,14688,100.531
2549,4480,14576,99.5448
2572,4464,14432,98.6009
2595,4448,14288,97.7534
2618,4496,14240,97.0094
2641,4464,14208,96.3754
2663,4448,14128,95.8766
2685,4512,14048,95.4872
2707,4480,14000,95.2101
2728,4448,13968,95.0524
2750,4480,13936,95.0001
2772,4480,13904,95.064
2794,4448,13872,95.2435
2816,4464,13856,95.5372
2837,4496,13840,95.9219
2859,4432,13856,96.4314
2881,4480,13840,97.046
2903,4496,13856,97.7607
2925,4464,13856,98.5702
2947,4464,13888,99.4682
2969,4496,13936,100.448
2990,4480,13888,101.452
3012,4448,13952,102.568
3034,4480,14096,103.742
3056,4480,14256,104.964
3078,4448,14544,106.225
3099,4480,14528,107.457
3121,4480,14528,108.766
3143,4448,14576,110.084
3165,4464,14592,111.402
3187,4496,14656,112.709
3209,4464,14896,113.996
3230,4448,15136,115.195
3252,4512,15232,116.411
3275,4464,15264,117.63
3298,4464,15264,118.784
3321,4496,15280,119.864
3344,4448,15392,120.86
3367,4480,15520,121.765
3389,4480,15632,122.537
3410,4448,15664,123.184
3432,4448,15760,123.762
3454,4512,15840,124.233
3476,4464,15904,124.594
3498,4464,15952,124.842
3519,4496,15984,124.972
3541,4448,15984,124.995
3563,4448,15984,124.901
3585,4480,15984,124.692
3607,4480,15984,124.37
3628,4464,15984,123.959
3650,4464,15984,123.422
3672,4480,15984,122.781
3694,4464,16000,122.042
3716,4464,16016,121.209
3737,4496,16016,120.333
3760,4464,16000,119.291
3783,4480,15952,118.17
3805,4480,15872,117.032
3828,4448,15776,115.785
3851,4480,15680,114.49
3874,4480,15632,113.156
3895,4448,15504,111.914
3917,4464,15408,110.599
3939,4496,15280,109.28
3961,4448,15232,107.966
3982,4464,15184,106.726
4004,4496,15136,105.452
4026,4464,15040,104.214
4048,4464,14880,103.02
4070,4496,14752,101.88
4091,4464,14640,100.85
4113,4464,14512,99.841
4135,4496,14448,98.9104
4157,4480,14352,98.0656
4179,4448,14256,97.3132
4201,4496,14224,96.659
4222,4480,14112,96.1307
4244,4464,14064,95.6822
4266,4464,14016,95.3446
4288,4496,13984,95.1203
4310,4464,13952,95.0113
4331,4464,13936,95.0154
4353,4480,13904,95.1329
4375,4464,13856,95.3656
4397,4448,13856,95.7115
4419,4480,13856,96.168
4440,4480,13856,96.7037
4462,4448,13872,97.3653
4485,4512,13888,98.1615
4508,4464,13920,99.0579
4531,4464,13904,100.047
4554,4496,13904,101.12
4577,4464,13968,102.268
4599,4464,14064,103.428
4621,4496,14192,104.638
4643,4432,14304,105.89
4665,4480,14416,107.174
4686,4496,14512,108.42
4708,4464,14560,109.737
4730,4464,14608,111.056
4752,4496,14624,112.367
4774,4480,14784,113.659
4795,4448,14960,114.867
4817,4480,15088,116.095
4839,4496,15200,117.276
4861,4464,15248,118.401
4884,4464,15312,119.507
4907,4480,15456,120.533
4930,4464,15536,121.469
4953,4496,15568,122.309
4975,4464,15680,123.015
4997,4448,15760,123.62
5019,4496,15840,124.119
