Time,Left,Right,U
0,4416,14912,110
23,4464,14928,110.459
46,4496,14912,110.915
68,4464,14912,111.343
90,4480,14944,111.761
112,4496,14944,112.166
134,4464,14960,112.554
156,4448,14992,112.921
178,4512,15008,113.267
200,4464,15040,113.587
222,4448,15072,113.879
243,4496,15104,114.13
265,4480,15120,114.362
287,4448,15152,114.56
309,4496,15168,114.722
331,4480,15184,114.849
353,4464,15184,114.937
374,4480,15216,114.986
396,4496,15232,115
418,4464,15248,114.974
440,4464,15264,114.911
462,4480,15248,114.809
484,4480,15248,114.67
505,4464,15248,114.504
527,4496,15248,114.296
549,4480,15264,114.054
571,4448,15264,113.781
593,4480,15248,113.479
615,4496,15248,113.15
636,4448,15280,112.813
658,4480,15264,112.439
680,4496,15280,112.046
702,4448,15296,111.637
724,4464,15296,111.216
746,4496,15296,110.785
767,4464,15296,110.368
789,4464,15264,109.928
811,4480,15200,109.489
833,4480,15088,109.054
855,4448,14976,108.626
877,4496,14848,108.209
898,4480,14832,107.823
920,4464,14816,107.436
942,4480,14848,107.069
964,4496,14848,106.724
986,4448,14848,106.405
1008,4464,14848,106.113
1029,4496,14848,105.863
1051,4464,14848,105.632
1073,4448,14800,105.435
1095,4496,14736,105.274
1116,4464,14704,105.153
1138,4448,14688,105.064
1160,4496,14672,105.013
1182,4464,14624,105.001
1204,4448,14608,105.027
1225,4480,14608,105.088
1247,4480,14608,105.189
1269,4448,14608,105.327
1292,4480,14608,105.51
1316,4480,14624,105.742
1339,4448,14624,106
1361,4512,14608,106.28
1384,4464,14624,106.602
1406,4464,14608,106.938
1427,4496,14640,107.28
1449,4480,14640,107.659
1471,4448,14640,108.057
1493,4496,14640,108.469
1515,4480,14640,108.893
1536,4448,14640,109.306
1558,4480,14688,109.744
1580,4480,14672,110.184
1602,4464,14704,110.622
1624,4464,14848,111.056
1645,4496,14960,111.462
1667,4448,15008,111.877
1689,4480,15024,112.277
1711,4496,15040,112.659
1733,4464,15040,113.021
1755,4464,15040,113.36
1777,4480,15040,113.672
1798,4480,15056,113.944
1820,4448,15088,114.199
1842,4480,15136,114.421
1864,4496,15152,114.609
1886,4448,15184,114.762
1907,4464,15200,114.873
1929,4512,15200,114.952
1951,4464,15248,114.994
1973,4464,15248,114.996
1995,4496,15264,114.96
2016,4464,15264,114.89
2038,4432,15264,114.78
2060,4480,15280,114.632
2082,4480,15264,114.449
2103,4448,15280,114.242
2125,4496,15264,113.992
2147,4480,15264,113.712
2169,4448,15264,113.404
2192,4496,15280,113.053
2215,4480,15280,112.676
2238,4448,15296,112.277
2261,4496,15296,111.858
2283,4464,15296,111.443
2305,4448,15296,111.017
2327,4496,15280,110.583
2349,4480,15280,110.144
2371,4448,15248,109.704
2393,4464,15120,109.267
2414,4496,15024,108.854
2436,4448,14912,108.431
2458,4464,14832,108.02
2480,4496,14816,107.624
2502,4480,14800,107.246
2524,4464,14832,106.89
2545,4496,14832,106.573
2567,4464,14832,106.266
2589,4464,14832,105.988
2611,4496,14848,105.741
2633,4464,14816,105.528
2655,4464,14768,105.349
2676,4480,14704,105.211
2699,4480,14640,105.099
2721,4448,14608,105.031
2743,4480,14608,105.001
2764,4480,14608,105.009
2786,4448,14608,105.055
2808,4480,14608,105.139
2830,4496,14608,105.261
2852,4464,14624,105.419
2873,4464,14608,105.604
2895,4496,14608,105.83
2917,4464,14608,106.088
2939,4464,14624,106.377
2961,4480,14608,106.694
2982,4496,14608,107.021
3004,4448,14640,107.385
3026,4496,14640,107.77
3048,4480,14640,108.172
3070,4432,14640,108.588
3092,4496,14656,109.015
3114,4496,14640,109.449
3135,4464,14640,109.868
3157,4464,14720,110.308
3179,4512,14848,110.745
3201,4448,14928,111.177
3223,4464,14976,111.6
3245,4512,14960,112.01
3266,4464,14992,112.387
3290,4464,14992,112.797
3312,4496,14992,113.15
3335,4448,15008,113.494
3358,4480,15024,113.808
3381,4480,15136,114.089
3403,4448,15184,114.326
3424,4480,15216,114.521
3446,4496,15216,114.691
3468,4464,15200,114.825
3490,4464,15200,114.922
3512,4496,15232,114.98
3533,4464,15232,115
3555,4448,15264,114.983
3577,4480,15248,114.927
3599,4480,15264,114.833
3621,4464,15264,114.702
3642,4480,15264,114.543
3664,4496,15264,114.342
3686,4464,15264,114.107
3708,4464,15280,113.841
3730,4496,15264,113.545
3751,4480,15264,113.236
3773,4464,15280,112.889
3795,4496,15280,112.519
3817,4464,15296,112.13
3839,4448,15280,111.724
3860,4496,15296,111.324
3883,4480,15280,110.875
3906,4464,15280,110.419
3929,4496,15216,109.96
3951,4464,15152,109.521
3974,4480,15072,109.065
3998,4496,15024,108.599
4020,4448,14976,108.182
4041,4480,14944,107.798
4063,4496,14912,107.412
4085,4464,14880,107.046
4107,4464,14864,106.703
4129,4496,14832,106.385
4151,4464,14800,106.096
4172,4464,14768,105.847
4194,4496,14752,105.619
4216,4480,14736,105.424
4238,4448,14720,105.265
4260,4480,14704,105.142
4282,4480,14688,105.057
4304,4448,14672,105.01
4326,4464,14640,105.002
4347,4496,14624,105.03
4369,4448,14608,105.097
4391,4464,14624,105.202
4413,4496,14624,105.344
4435,4464,14624,105.522
4457,4464,14624,105.735
4478,4496,14624,105.969
4500,4464,14640,106.245
4522,4464,14624,106.55
4544,4496,14624,106.881
4566,4480,14640,107.237
4588,4448,14640,107.614
4610,4480,14656,108.009
4631,4480,14656,108.401
4653,4448,14672,108.823
4675,4480,14640,109.255
4697,4496,14672,109.692
4718,4464,14688,110.112
4740,4464,14784,110.551
4762,4496,14896,110.986
4784,4448,14976,111.413
4806,4464,15024,111.829
4828,4480,15024,112.231
4849,4480,15040,112.598
4871,4464,15008,112.964
4893,4480,15040,113.306
4915,4496,15056,113.623
4937,4448,15056,113.912
4959,4464,15040,114.17
4980,4496,15104,114.387
5002,4464,15168,114.581
