Time,Left,Right,U
0,4432,13408,90
23,4512,13408,91.1399
46,4448,13408,92.2197
69,4480,13440,93.1827
92,4480,13456,93.978
115,4448,13488,94.5638
138,4496,13568,94.9093
160,4480,13680,94.9979
182,4448,13680,94.8455
203,4480,13696,94.482
225,4496,13696,93.8904
247,4480,13696,93.1112
269,4480,13712,92.182
291,4496,13744,91.1476
312,4464,13744,90.108
334,4464,13712,89.0145
356,4496,13648,87.9685
378,4480,13536,87.0204
400,4464,13424,86.216
421,4480,13328,85.6178
443,4480,13280,85.198
465,4464,13232,85.0097
487,4480,13184,85.062
509,4496,13168,85.3523
531,4464,13152,85.8666
552,4464,13104,86.5439
574,4496,13120,87.4157
596,4480,13120,88.4121
618,4464,13152,89.485
640,4496,13152,90.5827
661,4464,13184,91.6051
683,4464,13280,92.5998
705,4496,13360,93.4692
727,4464,13472,94.1714
749,4464,13552,94.6724
771,4480,13584,94.9483
792,4496,13600,94.9891
814,4432,13696,94.7969
836,4464,13728,94.3734
858,4496,13760,93.7391
879,4464,13744,92.965
901,4480,13760,92.0149
923,4496,13792,90.9677
945,4480,13792,89.8739
967,4464,13744,88.7861
989,4496,13648,87.7569
1010,4480,13568,86.8746
1032,4464,13472,86.0983
1054,4464,13344,85.51
1076,4480,13280,85.1381
1098,4464,13216,85.0006
1120,4480,13184,85.1041
1141,4496,13168,85.4233
1163,4464,13136,85.9729
1185,4448,13136,86.7167
1207,4512,13120,87.6188
1229,4464,13136,88.6357
1251,4464,13136,89.7183
1272,4496,13152,90.7651
1294,4480,13184,91.825
1316,4448,13216,92.7969
1338,4480,13456,93.6339
1360,4496,13536,94.2958
1381,4464,13568,94.7348
1403,4480,13584,94.9713
1425,4480,13680,94.9682
1447,4464,13680,94.7256
1469,4464,13712,94.2552
1490,4496,13712,93.6144
1512,4480,13712,92.7733
1534,4464,13728,91.7986
1556,4496,13744,90.7371
1578,4480,13712,89.6401
1600,4464,13712,88.5605
1621,4496,13600,87.5939
1643,4480,13520,86.6954
1665,4448,13392,85.9562
1687,4480,13280,85.4119
1708,4496,13264,85.0984
1731,4448,13216,85.0024
1754,4480,13184,85.1696
1777,4464,13168,85.5913
1800,4448,13120,86.2451
1823,4496,13120,87.0966
1845,4480,13152,88.055
1867,4464,13152,89.107
1889,4496,13152,90.2022
1910,4480,13168,91.2392
1932,4448,13184,92.2664
1954,4480,13264,93.1844
1976,4480,13456,93.9489
1998,4464,13536,94.523
2020,4448,13568,94.8791
2041,4512,13616,94.9997
2063,4448,13712,94.8905
2085,4464,13728,94.5456
2107,4496,13728,93.9815
2129,4464,13760,93.2255
2150,4464,13776,92.3582
2172,4496,13776,91.3392
2194,4480,13792,90.2556
2216,4464,13744,89.1598
2238,4480,13648,88.1044
2260,4480,13568,87.1404
2281,4464,13472,86.3482
2303,4464,13344,85.6909
2325,4496,13280,85.2413
2347,4464,13232,85.0211
2369,4464,13200,85.0409
2390,4496,13168,85.283
2412,4464,13152,85.7586
2434,4448,13120,86.4386
2456,4512,13120,87.2903
2478,4480,13120,88.2726
2499,4448,13152,89.2887
2521,4480,13184,90.3859
2543,4480,13200,91.4645
2565,4448,13232,92.4725
2587,4480,13392,93.3613
2608,4496,13552,94.0591
2630,4464,13536,94.5984
2652,4464,13552,94.916
2674,4496,13584,94.9967
2695,4480,13680,94.8489
2717,4448,13712,94.4658
2739,4496,13728,93.8675
2761,4480,13744,93.0827
2783,4464,13776,92.1493
2805,4480,13792,91.1123
2826,4496,13776,90.0717
2848,4448,13696,88.9789
2870,4496,13664,87.9354
2892,4496,13568,86.9913
2914,4464,13472,86.1924
2936,4464,13344,85.5769
2957,4480,13280,85.188
2979,4480,13232,85.0076
3001,4464,13184,85.0678
3023,4496,13168,85.3658
3045,4464,13136,85.8871
3066,4448,13120,86.5702
3088,4480,13120,87.4468
3110,4480,13152,88.4465
3132,4464,13152,89.5211
3154,4464,13184,90.6188
3175,4496,13232,91.6395
3197,4464,13200,92.6308
3219,4464,13280,93.4953
3241,4496,13712,94.1913
3264,4448,13584,94.7025
3287,4480,13584,94.966
3310,4496,13584,94.968
3333,4432,13680,94.7083
3356,4480,13712,94.2006
3377,4496,13712,93.543
3399,4464,13712,92.6877
3421,4480,13744,91.7028
3443,4496,13728,90.6359
3465,4464,13712,89.5383
3486,4464,13680,88.5106
3508,4496,13584,87.5048
3530,4464,13520,86.6194
3552,4464,13392,85.8969
3574,4496,13312,85.3723
3595,4464,13296,85.0793
3617,4464,13216,85.0043
3639,4496,13184,85.1702
3661,4480,13152,85.5689
3683,4432,13120,86.1812
3704,4480,13120,86.9379
3726,4512,13136,87.8743
3748,4464,13152,88.9132
3770,4464,13152,90.0044
3792,4496,13184,91.0955
3813,4464,13200,92.0884
3836,4464,13280,93.0691
3858,4496,13408,93.8565
3879,4464,13520,94.4352
3901,4464,13584,94.8321
3923,4496,13632,94.996
3945,4464,13680,94.9191
3967,4448,13696,94.6051
3988,4480,13744,94.098
4010,4480,13744,93.374
4032,4480,13760,92.4875
4054,4480,13776,91.481
4075,4496,13776,90.4529
4097,4464,13792,89.3553
4119,4464,13712,88.2888
4141,4496,13648,87.3048
4164,4464,13520,86.4157
4187,4464,13392,85.7153
4210,4496,13296,85.2406
4233,4464,13232,85.0166
4255,4496,13184,85.0479
4277,4480,13152,85.3179
4299,4464,13136,85.8136
4321,4480,13120,86.5111
4343,4496,13104,87.3768
4364,4464,13104,88.3217
4386,4464,13136,89.39
4408,4496,13152,90.4877
4430,4464,13184,91.5619
4452,4464,13232,92.5608
4474,4496,13424,93.4363
4495,4480,13520,94.1179
4517,4448,13552,94.6376
4539,4480,13584,94.9336
4562,4464,13648,94.9888
4585,4448,13696,94.7812
4608,4496,13728,94.3218
4631,4448,13728,93.6348
4654,4464,13744,92.7564
4675,4512,13776,91.8262
4697,4464,13776,90.7664
4719,4464,13760,89.6697
4741,4496,13728,88.5889
4763,4480,13648,87.5761
4785,4464,13536,86.6802
4806,4496,13424,85.9737
4828,4480,13296,85.4238
4850,4448,13280,85.0945
4872,4496,13200,85.0016
4894,4480,13168,85.1497
4916,4464,13136,85.5316
4937,4464,13136,86.0974
4959,4512,13104,86.8736
4981,4464,13120,87.8005
5003,4464,13136,88.8334
