Time,Left,Right,U
1503,4416,13424,85.115
1527,4480,13552,86.1593
1550,4496,13408,87.9798
1573,4448,13280,90.2203
1595,4496,13296,92.3269
1618,4496,13376,94.0498
1639,4448,13344,94.8935
1661,4496,13488,94.8646
1683,4512,13712,93.9089
1705,4448,13808,92.2086
1727,4496,13776,90.0876
1749,4496,13744,87.9499
1770,4464,13712,86.2685
1792,4464,13584,85.2064
1814,4496,13440,85.0574
1836,4480,13296,85.85
1858,4448,13216,87.4331
1879,4512,13184,89.4058
1901,4480,13248,91.577
1923,4464,13232,93.4478
1945,4496,13232,94.6618
1967,4496,13408,94.9877
1988,4464,13792,94.4114
2010,4464,13664,92.9888
2032,4512,13664,90.9968
2054,4480,13696,88.8149
2076,4464,13712,86.8588
2097,4496,13632,85.5456
2119,4480,13456,85.0025
2141,4448,13312,85.4114
2163,4496,13200,86.6945
2185,4480,13152,88.6072
2207,4448,13184,90.7852
2230,4496,13232,92.8958
2253,4464,13264,94.4044
2276,4464,13296,94.9973
2299,4496,13600,94.5513
2321,4464,13904,93.2359
2343,4464,13760,91.3042
2365,4496,13648,89.124
2387,4464,13712,87.1107
2408,4464,13616,85.6979
2430,4496,13520,85.0224
2452,4480,13376,85.2952
2474,4464,13264,86.4642
2496,4496,13184,88.3067
2517,4496,13152,90.3722
2539,4464,13216,92.4606
2561,4480,13264,94.0802
2583,4496,13264,94.9225
2605,4464,13552,94.8271
2628,4464,14080,93.7467
2651,4496,13840,91.8874
2674,4448,13744,89.6357
2697,4496,13696,87.4597
2719,4480,13728,85.8673
2741,4448,13568,85.0622
2763,4496,13392,85.1977
2784,4496,13216,86.1827
2806,4448,13216,87.9217
2828,4480,13184,90.0567
2850,4496,13232,92.1808
2872,4448,13296,93.8895
2894,4480,13296,94.8573
2915,4496,13344,94.9187
2937,4464,13632,94.0678
2959,4464,13840,92.442
2981,4496,13840,90.351
3003,4480,13792,88.1931
3025,4464,13664,86.3795
3047,4496,13552,85.2555
3068,4480,13408,85.0245
3090,4432,13296,85.7087
3112,4480,13216,87.2105
3134,4496,13168,89.2437
3156,4464,13200,91.4209
3177,4480,13280,93.2521
3199,4496,13264,94.56
3221,4464,13312,94.9992
3243,4480,13632,94.4861
3265,4496,14016,93.1184
3286,4464,13776,91.2537
3308,4464,13664,89.0726
3330,4496,13648,87.0682
3352,4480,13632,85.6223
3374,4448,13520,85.0103
3396,4496,13360,85.3489
3417,4496,13264,86.5013
3439,4464,13184,88.356
3461,4480,13168,90.5238
3483,4496,13216,92.5919
3505,4464,13360,94.1663
3526,4480,13248,94.9314
3548,4496,13600,94.8133
3570,4464,14048,93.7782
3592,4464,13888,92.0234
3614,4496,13808,89.8832
3636,4464,13760,87.7652
3657,4464,13664,86.1356
3679,4496,13600,85.1523
3701,4480,13408,85.0924
3723,4448,13280,85.9675
3745,4480,13216,87.6107
3766,4512,13184,89.6093
3788,4464,13232,91.7697
3810,4480,13232,93.593
3832,4512,13248,94.7318
3854,4464,13488,94.9692
3875,4464,13744,94.3116
3897,4496,13680,92.8225
3919,4480,13680,90.7957
3941,4464,13712,88.6173
3963,4496,13696,86.7024
3984,4480,13600,85.4565
4007,4448,13440,85.0022
4030,4480,13296,85.5869
4052,4464,13216,87.0084
4075,4480,13168,89.0979
4098,4496,13200,91.375
4121,4464,13232,93.3662
4143,4464,13216,94.6203
4165,4496,13328,94.9943
4187,4464,13648,94.4168
4208,4464,13840,93.0774
4230,4480,13776,91.1058
4252,4496,13648,88.9235
4274,4448,13712,86.9463
4296,4496,13712,85.5508
4317,4464,13568,85.0072
4339,4464,13360,85.3683
4361,4480,13264,86.6116
4383,4496,13184,88.5005
4405,4448,13200,90.675
4428,4480,13280,92.8042
4451,4480,13216,94.3505
4474,4464,13360,94.9923
4497,4512,13680,94.5963
4519,4464,13744,93.3201
4541,4464,13712,91.4115
4563,4496,13664,89.234
4585,4480,13696,87.2024
4607,4448,13680,85.7037
4629,4496,13504,85.0235
4650,4480,13328,85.2586
4672,4464,13248,86.3862
4694,4464,13200,88.2023
4716,4496,13168,90.3608
4738,4448,13232,92.4506
4759,4480,13328,94.0147
4781,4496,13248,94.9017
4803,4464,13360,94.855
4825,4480,13664,93.8834
4847,4496,13824,92.172
4869,4480,13792,90.0469
4890,4464,13680,88.0041
4913,4496,13680,86.1763
4934,4480,13584,85.195
4956,4464,13408,85.0637
4978,4496,13280,85.8728
5001,4480,13232,87.5549
