Time,Command_0,Command 1,Pitch,Pitch_Rate
10,82.25,82.75,-8.875,-0.0166667
23,82.25,82.75,-8.875,0.0177778
34,82.25,82.75,-8.875,0.0533333
45,82.375,82.625,-8.8125,0.107778
56,82.5,82.5,-8.75,0.105556
66,82.625,82.375,-8.6875,0.08
76,82.875,82.125,-8.5625,0.05
86,82.875,82.125,-8.5625,0.0266667
97,82.875,82.125,-8.5625,-0.00111111
107,82.875,82.125,-8.5625,-0.0133333
118,82.875,82.125,-8.5625,-0.0177778
127,82.875,82.125,-8.5625,0.00222222
135,82.875,82.125,-8.5625,0.0333333
145,82.875,82.125,-8.5625,0.0566667
153,82.875,82.125,-8.5625,0.0566667
163,83,82,-8.5,0.0588889
173,83,82,-8.5,0.0466667
184,83.125,81.875,-8.4375,0.0222222
194,83,82,-8.5,-0.0322222
203,83,82,-8.5,-0.0711111
211,82.75,82.25,-8.625,-0.164444
223,82.625,82.375,-8.6875,-0.152222
233,82.5,82.5,-8.75,-0.142222
244,82.375,82.625,-8.8125,-0.127778
253,82.25,82.75,-8.875,-0.0855556
261,82.125,82.875,-8.9375,-0.0544444
272,82.125,82.875,-8.9375,-0.0366667
284,82.125,82.875,-8.9375,-0.0488889
294,82,83,-9,-0.0733333
303,81.875,83.125,-9.0625,-0.0777778
312,81.75,83.25,-9.125,-0.0966667
323,81.625,83.375,-9.1875,-0.103333
333,81.625,83.375,-9.1875,-0.0788889
347,81.5,83.5,-9.25,-0.0766667
355,81.5,83.5,-9.25,-0.0711111
364,81.375,83.625,-9.3125,-0.0711111
374,81.25,83.75,-9.375,-0.0711111
385,81.25,83.75,-9.375,-0.0822222
395,81.125,83.875,-9.4375,-0.0922222
404,81,84,-9.5,-0.0877778
413,80.875,84.125,-9.5625,-0.0844444
422,80.875,84.125,-9.5625,-0.0777778
432,80.75,84.25,-9.625,-0.0777778
442,80.625,84.375,-9.6875,-0.0833333
451,80.5,84.5,-9.75,-0.0844444
459,80.5,84.5,-9.75,-0.0566667
468,80.375,84.625,-9.8125,-0.0655556
477,80.375,84.625,-9.8125,-0.0755556
486,80.375,84.625,-9.8125,-0.0588889
496,80.25,84.75,-9.875,-0.106667
505,80.125,84.875,-9.9375,-0.106667
514,79.5,85.5,-10.25,-0.534444
525,79.75,85.25,-10.125,0.171111
535,79.875,85.125,-10.0625,0.1
546,79.75,85.25,-10.125,-0.0122222
554,79.875,85.125,-10.0625,0.0311111
563,79.875,85.125,-10.0625,0.0666667
574,80.125,84.875,-9.9375,0.196667
585,80.25,84.75,-9.875,0.0911111
596,80.375,84.625,-9.8125,0.0988889
604,80.5,84.5,-9.75,0.118889
613,80.625,84.375,-9.6875,0.111111
623,80.625,84.375,-9.6875,0.0688889
635,80.75,84.25,-9.625,0.0488889
646,80.75,84.25,-9.625,0.0277778
656,80.75,84.25,-9.625,0.00111111
666,80.75,84.25,-9.625,-0.0177778
676,80.75,84.25,-9.625,-0.0333333
686,80.625,84.375,-9.6875,-0.04
697,80.625,84.375,-9.6875,-0.0511111
705,80.625,84.375,-9.6875,-0.0555556
714,80.5,84.5,-9.75,-0.0522222
723,80.5,84.5,-9.75,-0.0566667
732,80.375,84.625,-9.8125,-0.0511111
742,80.375,84.625,-9.8125,-0.0433333
750,80.25,84.75,-9.875,-0.0433333
759,80.25,84.75,-9.875,-0.0488889
768,80.25,84.75,-9.875,-0.0488889
777,80.25,84.75,-9.875,-0.05
787,80.125,84.875,-9.9375,-0.05
798,80.125,84.875,-9.9375,-0.05
807,80,85,-10,-0.0544444
815,80,85,-10,-0.0611111
