Time,Left,Right
1604805273786,47.3684,166.671
1604805273805,45.716,175.704
1604805273824,45.2754,179.229
1604805273843,42.9621,180.661
1604805273862,40.3182,179.559
1604805273881,39.6573,176.144
1604805273899,39.3268,171.077
1604805273918,40.3182,166.01
1604805273937,41.8605,162.044
1604805273956,44.0636,157.858
1604805273975,46.4871,154.002
1604805273994,49.7919,150.147
1604805274013,52.7662,146.512
1604805274032,55.7405,142.656
1604805274051,59.1554,139.241
1604805274069,62.6805,135.606
1604805274088,66.0955,132.521
1604805274107,69.5104,128.996
1604805274126,73.1457,125.912
1604805274145,76.6707,123.378
1604805274164,79.8654,120.184
1604805274183,83.5006,116.989
1604805274201,87.246,113.905
1604805274220,91.4321,110.6
1604805274240,95.3978,107.185
1604805274260,99.9143,104.211
1604805274281,104.211,100.685
1604805274301,108.397,97.3807
1604805274322,112.472,93.9657
1604805274342,116.659,90.661
1604805274362,120.624,87.5765
1604805274382,124.81,84.6022
1604805274401,128.886,81.2974
1604805274421,132.411,78.213
1604805274441,136.487,74.6879
1604805274461,140.453,71.0526
1604805274481,144.088,67.858
1604805274501,147.503,64.4431
1604805274520,151.469,61.1383
1604805274540,155.655,57.6132
1604805274561,159.951,53.6475
1604805274581,160.942,49.9021
1604805274602,155.875,45.1652
1604805274622,172.179,40.9792
1604805274662,162.705,59.3758
1604805274682,166.23,57.6132
1604805274702,173.941,56.6218
1604805274722,176.144,55.7405
1604805274742,177.136,55.1897
1604805274763,176.365,54.3084
1604805274783,172.069,50.1224
1604805274804,166.01,46.0465
1604805274824,160.061,44.7246
1604805274844,154.333,44.9449
1604805274864,149.816,46.8176
1604805274884,145.41,49.4614
1604805274904,141.444,51.9951
1604805274924,137.258,54.8592
1604805274944,132.962,58.164
1604805274964,128.776,61.4688
1604805274985,124.81,64.5532
1604805275005,121.065,68.2987
1604805275026,116.879,71.3831
1604805275046,112.693,75.0184
1604805275065,108.176,78.3231
1604805275085,104.211,81.1873
1604805275105,100.245,84.492
1604805275125,95.6181,87.4663
1604805275145,91.4321,90.8813
1604805275165,87.0257,94.0759
1604805275186,82.6193,97.601
1604805275206,78.7638,100.906
1604805275227,74.6879,104.1
1604805275246,70.5018,107.515
1604805275266,67.0869,110.93
1604805275286,63.011,114.235
1604805275306,59.5961,117.54
1604805275326,55.6304,120.734
1604805275346,51.7748,123.929
1604805275366,47.8091,127.344
1604805275387,44.0636,130.979
1604805275408,39.7674,134.064
1604805275428,35.8017,137.589
1604805275448,29.9633,141.114
1604805275468,24.1248,143.758
1604805275488,25.8874,147.393
1604805275507,24.5655,151.689
1604805275527,18.3966,155.435
1604805275547,18.6169,157.307
1604805275568,16.1934,160.502
1604805275588,12.7785,159.951
1604805275609,14.1004,160.942
1604805275629,13.4394,158.409
1604805275649,15.202,166.12
1604805275669,13.2191,169.094
