Time,Left,Right
1605603048370,2160,8896
1605603048390,2128,8640
1605603048410,2160,8464
1605603048431,2192,8336
1605603048452,2192,8448
1605603048472,2224,8272
1605603048493,2176,8016
1605603048513,2176,7904
1605603048552,2208,7488
1605603048572,2208,7488
1605603048592,2160,7296
1605603048612,2336,7776
1605603048633,2608,8016
1605603048653,2976,8912
1605603048674,2512,9200
1605603048694,2112,7472
1605603048714,2128,7744
1605603048734,2144,7808
1605603048753,2112,8128
1605603048773,2144,8176
1605603048793,2160,8208
1605603048813,2192,8448
1605603048834,2176,8704
1605603048854,2192,8704
1605603048875,2240,8896
1605603048895,2144,9024
1605603048915,2224,9104
1605603048935,2224,9328
1605603048954,2256,9392
1605603048974,2128,9456
1605603048994,2208,9616
1605603049014,2192,9728
1605603049035,2176,9936
1605603049055,2160,9872
1605603049075,2240,10144
1605603049096,2240,10096
1605603049116,2304,10448
1605603049136,2176,10544
1605603049155,2176,10608
1605603049175,2240,10720
1605603049195,2256,11088
1605603049215,2160,10912
1605603049236,2144,11104
1605603049256,2144,11264
1605603049277,2256,11328
1605603049297,2192,11520
1605603049317,2160,11616
1605603049337,2128,11776
1605603049356,2208,11936
1605603049376,2224,12048
1605603049396,2208,12176
1605603049416,2176,12272
1605603049437,2176,12384
1605603049457,2464,12512
1605603049478,2192,12608
1605603049498,2144,12704
1605603049518,2144,12896
1605603049538,2160,13040
1605603049557,2144,13136
1605603049577,2208,13280
1605603049597,2160,13328
1605603049617,2144,13392
1605603049638,2208,13952
1605603049658,2192,13760
1605603049679,2176,13920
1605603049699,2224,14048
1605603049719,2192,14176
1605603049739,2176,14304
1605603049759,2160,14448
1605603049778,2144,14512
1605603049798,2208,14624
1605603049818,2160,14800
1605603049839,2176,14896
1605603049859,2144,15040
1605603049879,2176,15184
1605603049900,2192,15328
1605603049920,2224,15504
1605603049940,2160,15568
1605603049960,2144,15728
1605603049980,2144,15776
1605603050000,2208,16016
1605603050019,2144,16208
1605603050040,2224,16224
1605603050061,2160,16304
1605603050081,2192,16560
1605603050101,2208,16656
1605603050122,2144,16720
1605603050142,2160,17088
1605603050181,2224,16896
1605603050201,2144,17280
1605603050221,2352,17088
1605603050241,2432,17664
1605603050262,2592,18112
1605603050282,2560,18608
1605603050303,2496,18240
1605603050323,2080,17152
1605603050343,2112,16736
1605603050365,2128,16800
1605603050385,2128,16352
1605603050405,2128,16336
1605603050425,2144,16208
1605603050444,2128,16160
1605603050464,2176,16064
1605603050484,2192,16176
1605603050504,2176,15872
1605603050524,2272,16160
1605603050544,2160,15664
1605603050565,2160,15520
1605603050585,2128,15376
1605603050606,2144,15184
1605603050626,2144,15248
1605603050645,2176,15056
1605603050665,2160,15024
1605603050685,2176,14896
1605603050705,2144,14768
1605603050725,2176,14656
1605603050745,2176,14480
1605603050766,2160,14384
1605603050786,2160,14224
1605603050807,2192,14080
1605603050827,2144,14096
1605603050846,2160,13760
1605603050867,2208,13744
1605603050886,2160,13488
1605603050906,2176,13472
1605603050926,2128,13280
1605603050947,2160,13120
1605603050967,2160,13040
1605603050988,2176,12976
1605603051008,2160,12832
1605603051028,2128,12496
1605603051048,2112,13232
1605603051068,2128,12512
1605603051087,2160,12288
1605603051107,2160,12080
1605603051127,2144,11952
1605603051148,2144,11808
1605603051168,2160,11888
1605603051189,2160,11696
1605603051209,2160,11600
1605603051229,2160,11376
1605603051249,2144,11392
1605603051268,2144,11216
1605603051288,2160,10896
1605603051308,2192,11104
1605603051328,2128,10816
1605603051349,2144,10608
1605603051369,2176,10464
1605603051390,2112,10272
1605603051410,2192,10176
1605603051430,2144,10192
1605603051450,2160,9808
1605603051470,2160,9856
1605603051489,2176,9648
1605603051509,2064,9536
1605603051529,2176,9920
1605603051550,2176,9440
1605603051570,2192,9232
1605603051591,2176,9040
1605603051611,2208,9120
1605603051631,2160,8912
1605603051651,2144,8656
1605603051671,2160,8400
1605603051691,2208,8336
1605603051710,2144,8496
1605603051731,2192,8304
1605603051752,2176,7984
1605603051772,2208,7888
1605603051813,2208,7520
1605603051832,2176,7536
1605603051852,2240,7200
1605603051872,2320,8160
1605603051892,2592,7952
1605603051912,2720,8928
1605603051932,2224,9152
1605603051952,2112,7520
1605603051973,2144,7744
1605603051993,2160,7856
1605603052014,2160,8112
1605603052034,2144,8160
1605603052053,2160,8256
1605603052073,2176,8448
1605603052093,2176,8608
1605603052113,2224,8752
1605603052133,2144,8912
1605603052154,2128,9008
1605603052174,2288,9040
1605603052195,2192,9328
1605603052215,2208,9440
1605603052235,2160,9440
1605603052254,2208,9600
1605603052274,2192,9744
1605603052294,2144,9888
1605603052314,2144,9888
1605603052334,2176,10192
1605603052355,2208,10096
1605603052375,2304,10464
1605603052395,2176,10560
1605603052416,2176,10656
1605603052436,2288,10752
1605603052456,2272,10912
1605603052476,2160,10912
1605603052495,2160,11088
1605603052515,2160,11264
1605603052535,2160,11328
1605603052556,2208,11552
1605603052576,2176,11632
1605603052597,2144,11760
1605603052617,2240,11904
1605603052637,2160,12080
1605603052657,2208,12144
1605603052677,2160,12288
1605603052696,2128,12384
1605603052716,2304,12480
