Time,Left,Right
1604818160050,2080,24528
1604818160070,2064,24528
1604818160090,2080,24528
1604818160110,2080,24528
1604818160130,2080,24512
1604818160151,2080,24528
1604818160171,2064,24544
1604818160192,2080,24544
1604818160212,2080,24544
1604818160232,2080,24528
1604818160252,2080,24528
1604818160271,2064,24528
1604818160291,2080,24528
1604818160311,2064,24528
1604818160331,2080,24512
1604818160351,2080,24544
1604818160372,2064,24544
1604818160392,2064,24544
1604818160413,2080,24528
1604818160433,2080,24528
1604818160453,2080,24528
1604818160473,2064,24528
1604818160492,2080,24528
1604818160512,2080,24528
1604818160532,2064,24512
1604818160553,2080,24528
1604818160573,2064,24544
1604818160593,2080,24544
1604818160614,2080,24544
1604818160634,2080,24528
1604818160654,2080,24528
1604818160674,2064,24528
1604818160693,2080,24528
1604818160713,2080,24528
1604818160733,2064,24512
1604818160774,5808,23488
1604818160794,4544,25648
1604818160815,3712,26864
1604818160835,3232,26736
1604818160855,2960,25808
1604818160874,2736,24976
1604818160894,2656,24176
1604818160914,2608,23552
1604818160934,2560,23008
1604818160954,2544,22416
1604818160975,2496,21840
1604818160995,2496,21232
1604818161016,2480,20624
1604818161036,2480,19936
1604818161056,2464,19456
1604818161076,2464,18944
1604818161095,2480,18464
1604818161115,2480,18048
1604818161135,2464,17552
1604818161156,2464,17024
1604818161176,2464,16544
1604818161197,2480,16000
1604818161217,2464,15472
1604818161238,2464,14912
1604818161257,2464,14432
1604818161277,2448,13952
1604818161297,2496,13488
1604818161317,2464,12960
1604818161337,2480,12496
1604818161357,2480,12048
1604818161378,2480,11584
1604818161399,2496,11072
1604818161419,2480,10496
1604818161440,2496,10000
1604818161459,2496,9472
1604818161479,2480,8992
1604818161499,2496,8448
1604818161519,2496,7888
1604818161539,2496,7312
1604818161559,2528,6832
1604818161580,2496,6192
1604818161600,2480,5648
1604818161621,2416,5040
1604818161641,2128,3856
1604818161660,2256,3472
1604818161680,2192,2896
1604818161700,2176,2880
1604818161720,2192,2512
1604818161740,2176,2368
1604818161761,2160,2304
1604818161782,2048,2064
1604818161802,2080,2048
1604818161822,2080,2048
1604818161842,2080,2032
1604818161862,2080,2048
1604818161882,2064,2048
1604818161901,2080,2048
1604818161921,2080,2048
1604818161942,2080,2016
1604818161962,2080,2048
1604818161983,2064,2048
1604818162003,2080,2048
1604818162023,2080,2048
1604818162043,2080,2032
1604818162063,2080,2048
1604818162083,2064,2048
1604818162103,2080,2048
1604818162122,2064,2048
1604818162143,2080,2016
1604818162163,2080,2048
1604818162183,2064,2048
1604818162204,2080,2048
1604818162224,2080,2048
1604818162244,2064,2016
1604818162264,2080,2048
1604818162284,2064,2048
1604818162303,2080,2048
1604818162323,2080,2048
1604818162343,2080,2016
1604818162364,2080,2048
1604818162384,2064,2048
1604818162405,2080,2048
1604818162425,2080,2048
1604818162445,2080,2032
1604818162465,2080,2048
1604818162485,2064,2032
1604818162504,2080,2048
1604818162524,2080,2048
1604818162544,2080,2016
1604818162565,2080,2048
1604818162585,2064,2048
1604818162606,2080,2048
1604818162626,2080,2048
1604818162647,2080,2032
1604818162666,2080,2048
1604818162686,2064,2048
1604818162706,2080,2048
1604818162726,2080,2048
1604818162746,2080,2032
1604818162766,2080,2048
1604818162807,4816,7120
1604818162828,4352,6944
1604818162848,3584,5824
1604818162867,3136,5200
1604818162887,2848,4944
1604818162907,2704,5008
1604818162927,2624,5152
1604818162948,2608,5472
1604818162968,2608,5936
1604818162989,2576,6432
1604818163009,2576,6992
1604818163029,2576,7520
1604818163049,2560,8032
1604818163069,2560,8496
1604818163089,2544,9072
1604818163108,2528,9552
1604818163128,2528,10048
1604818163149,2528,10496
1604818163170,2496,11072
1604818163190,2480,11536
1604818163210,2496,12064
1604818163231,2464,12560
1604818163251,2448,13040
1604818163270,2464,13536
1604818163290,2432,14048
1604818163310,2448,14528
1604818163330,2448,14976
1604818163350,2464,15456
1604818163371,2480,16064
1604818163391,2432,16544
1604818163412,2464,17056
1604818163432,2464,17568
1604818163452,2448,18032
1604818163472,2448,18528
1604818163491,2432,19024
1604818163511,2448,19488
1604818163531,2448,19984
1604818163551,2448,20512
1604818163572,2480,21088
1604818163592,2448,21632
1604818163612,2448,22160
1604818163639,2416,22688
1604818163659,2320,23312
1604818163679,2112,23344
1604818163699,2096,23584
1604818163719,2368,23008
1604818163739,3520,23936
1604818163758,3424,24800
1604818163777,2224,24816
1604818163796,2032,24688
1604818163815,2048,24560
1604818163834,2064,24560
1604818163853,2064,24544
1604818163872,2048,24544
1604818163891,2032,24544
1604818163910,2048,24544
1604818163928,2048,24544
1604818163947,2048,24544
1604818163966,2064,24544
1604818163985,2064,24560
1604818164004,2064,24544
1604818164023,2048,24544
1604818164042,2048,24544
1604818164061,2048,24544
1604818164080,2048,24544
1604818164099,2048,24544
1604818164118,2064,24544
1604818164137,2048,24560
1604818164155,2048,24544
1604818164174,2048,24544
1604818164193,2032,24544
1604818164212,2048,24544
1604818164231,2048,24544
1604818164250,2048,24544
1604818164269,2064,24544
1604818164287,2048,24544
1604818164306,2048,24544
1604818164325,2048,24544
1604818164344,2032,24544
1604818164363,2048,24544
1604818164382,2048,24544
1604818164401,2048,24544
1604818164420,2064,24544
1604818164439,2048,24544
1604818164458,2064,24544
1604818164478,2064,24560
1604818164498,2048,24560
1604818164518,2064,24560
1604818164538,2064,24560
1604818164558,2064,24544
1604818164578,2064,24560
1604818164599,2048,24560
1604818164619,2064,24560
1604818164640,2064,24560
1604818164660,2064,24544
1604818164680,2064,24560
1604818164699,2048,24560
1604818164719,2064,24560
1604818164739,2064,24560
1604818164760,2064,24544
1604818164800,5376,24272
1604818164821,4224,26128
1604818164841,3488,26960
1604818164861,3104,26512
1604818164880,2864,25568
1604818164900,2688,24672
1604818164920,2624,24000
1604818164940,2560,23392
1604818164961,2528,22752
1604818164981,2496,22192
1604818165002,2464,21632
1604818165022,2496,21056
1604818165043,2480,20416
1604818165062,2464,19808
1604818165082,2464,19296
1604818165102,2448,18816
1604818165122,2448,18352
1604818165141,2464,17904
1604818165162,2448,17376
1604818165182,2448,16880
1604818165203,2448,16400
1604818165223,2464,15872
1604818165243,2464,15344
1604818165263,2448,14816
1604818165283,2464,14320
1604818165303,2432,13840
1604818165323,2464,13376
1604818165342,2464,12848
1604818165363,2464,12400
1604818165383,2448,11952
1604818165403,2464,11472
1604818165424,2480,11008
1604818165444,2464,10432
1604818165465,2464,9920
1604818165484,2464,9440
1604818165504,2448,8880
1604818165524,2480,8352
1604818165544,2480,7872
1604818165563,2464,7264
1604818165583,2496,6752
1604818165603,2464,6208
1604818165623,2480,5648
1604818165642,2368,5152
1604818165663,2144,4080
1604818165683,2288,3184
1604818165703,2608,3552
1604818165724,2192,2736
1604818165744,2272,2480
1604818165764,2176,2400
1604818165784,2096,2320
1604818165804,2048,2064
1604818165823,2064,2048
1604818165843,2064,2048
1604818165863,2064,2032
1604818165884,2064,2064
1604818165904,2048,2064
1604818165925,2064,2064
1604818165945,2064,2064
1604818165965,2064,2032
1604818165985,2064,2048
1604818166005,2048,2048
1604818166024,2064,2048
1604818166044,2064,2048
1604818166064,2064,2032
1604818166085,2064,2064
1604818166105,2048,2064
1604818166126,2064,2064
1604818166146,2064,2064
1604818166167,2064,2032
1604818166186,2064,2048
1604818166206,2048,2048
1604818166226,2064,2048
1604818166246,2064,2048
1604818166266,2064,2032
1604818166286,2064,2064
1604818166307,2048,2064
1604818166327,2064,2064
1604818166348,2064,2064
1604818166368,2064,2032
1604818166388,2064,2048
1604818166408,2048,2048
1604818166428,2064,2048
1604818166447,2064,2048
1604818166468,2064,2048
1604818166488,2064,2064
1604818166509,2048,2064
1604818166529,2064,2064
1604818166550,2064,2064
1604818166570,2064,2048
1604818166589,2064,2048
1604818166609,2048,2048
1604818166629,2064,2048
1604818166649,2064,2048
1604818166669,2064,2048
1604818166690,2064,2064
1604818166712,2032,2048
1604818166733,2048,2048
1604818166753,2032,2048
1604818166773,2032,2016
1604818166792,2032,2016
1604818166830,4736,7040
1604818166849,4208,6784
1604818166868,3536,5744
1604818166887,3120,5232
1604818166906,2816,4880
1604818166924,2688,4992
1604818166943,2608,5088
1604818166962,2576,5408
1604818166981,2560,5824
1604818167000,2560,6304
1604818167019,2560,6784
1604818167038,2560,7248
1604818167057,2544,7728
1604818167075,2544,8208
1604818167094,2544,8736
1604818167113,2480,9168
1604818167132,2512,9648
1604818167151,2496,10144
1604818167170,2496,10624
1604818167189,2464,11104
1604818167207,2464,11568
1604818167226,2448,11968
1604818167245,2448,12432
1604818167264,2448,12944
