Time,Left,Right
1605602728611,2240,24928
1605602728632,2160,25008
1605602728652,2256,25472
1605602728672,2208,26176
1605602728693,3120,26112
1605602728713,2144,26064
1605602728734,2112,25024
1605602728753,2160,24512
1605602728773,2096,24352
1605602728793,2096,24128
1605602728813,2080,24112
1605602728833,2192,24096
1605602728853,2544,23968
1605602728873,2208,23824
1605602728894,2144,23504
1605602728914,2144,23568
1605602728935,2240,23408
1605602728954,2112,23280
1605602728974,2144,23344
1605602728994,2160,23184
1605602729014,2144,22912
1605602729034,2112,22736
1605602729054,2224,22656
1605602729074,2160,22784
1605602729095,2528,22464
1605602729115,2160,22288
1605602729135,2096,22256
1605602729155,2128,22064
1605602729175,2192,21856
1605602729195,2096,21744
1605602729214,2144,21600
1605602729234,2144,22112
1605602729255,2160,21392
1605602729275,2144,21152
1605602729296,2160,21152
1605602729316,2160,20912
1605602729337,2112,21008
1605602729356,2160,20688
1605602729376,2128,20544
1605602729396,2464,20416
1605602729416,2144,20512
1605602729436,2144,20032
1605602729456,2144,19984
1605602729477,2288,20304
1605602729497,2208,20096
1605602729518,2352,19760
1605602729538,2160,19552
1605602729558,2128,19904
1605602729577,2192,19280
1605602729597,2176,19168
1605602729617,2384,19024
1605602729637,2112,19008
1605602729657,2144,18640
1605602729678,2112,18640
1605602729698,2176,18512
1605602729718,2208,18400
1605602729739,2128,18160
1605602729759,2320,18144
1605602729778,2192,18000
1605602729798,2160,18096
1605602729818,2176,17872
1605602729838,2128,17600
1605602729858,2208,17616
1605602729879,2224,17552
1605602729899,2224,17456
1605602729919,2208,17264
1605602729940,2208,16976
1605602729959,2160,16864
1605602729979,2144,16752
1605602729999,2160,16592
1605602730019,2112,16384
1605602730039,2208,16352
1605602730059,2192,16304
1605602730080,2160,16032
1605602730100,2208,16112
1605602730121,2224,15856
1605602730141,2160,15712
1605602730161,2208,15568
1605602730181,2192,15440
1605602730201,2160,15328
1605602730220,2384,15168
1605602730241,2208,15056
1605602730261,2272,14944
1605602730282,2208,14784
1605602730302,2240,14624
1605602730323,2192,14560
1605602730343,2192,14448
1605602730362,2192,14432
1605602730382,2192,14160
1605602730402,2256,14064
1605602730422,2208,14016
1605602730443,2224,13744
1605602730463,2224,13744
1605602730484,2240,13600
1605602730504,2208,13568
1605602730524,2208,13328
1605602730545,2192,13232
1605602730564,2192,12992
1605602730584,2160,12960
1605602730604,2224,12832
1605602730644,3424,14928
1605602730664,3088,14704
1605602730685,2848,14096
1605602730705,2672,13184
1605602730725,2576,12304
1605602730746,2496,11568
1605602730765,2448,10896
1605602730785,2432,10304
1605602730805,2416,9680
1605602730825,2416,9168
1605602730845,2384,8624
1605602730865,2400,8032
1605602730886,2400,7456
1605602730906,2288,6832
1605602730926,2256,5584
1605602730947,2432,5360
1605602730966,2512,4960
1605602730986,2176,5280
1605602731006,2272,4656
1605602731026,2320,4864
1605602731046,2448,5136
1605602731066,2816,5728
1605602731087,2848,6384
1605602731107,2128,4640
1605602731127,2128,4768
1605602731148,2144,4976
1605602731167,2160,5152
1605602731187,2176,5600
1605602731207,2144,5808
1605602731227,2144,5840
1605602731247,2400,5872
1605602731267,2128,5936
1605602731287,2240,6080
1605602731308,2176,6224
1605602731328,2208,6352
1605602731349,2208,6928
1605602731368,2144,6992
1605602731388,2176,6784
1605602731408,2112,6688
1605602731428,2144,6976
1605602731448,2240,6992
1605602731468,2112,7136
1605602731489,2160,7248
1605602731509,2224,7696
1605602731529,2208,7904
1605602731550,2128,7568
1605602731569,2144,7744
1605602731589,2144,7856
1605602731609,2208,8416
1605602731629,2240,8480
1605602731649,2192,8240
1605602731669,2144,8560
1605602731690,2176,8800
1605602731710,2096,8624
1605602731731,2144,8656
1605602731751,2144,8912
1605602731771,2144,9040
1605602731790,2176,9296
1605602731810,2304,9408
1605602731830,2176,9504
1605602731850,2176,9616
1605602731871,2160,9584
1605602731891,2160,10000
1605602731912,2176,9984
1605602731932,2096,9984
1605602731952,2160,10112
1605602731972,2112,10256
1605602731992,2176,10560
1605602732012,2160,10624
1605602732031,2144,10704
1605602732052,2144,10784
1605602732072,2192,11104
1605602732093,2144,11408
1605602732113,2112,11056
1605602732134,2160,11280
1605602732154,2128,11344
1605602732173,2176,11600
1605602732193,2160,11696
1605602732213,2144,11824
1605602732233,2128,11808
1605602732253,2160,12208
1605602732274,2160,12192
1605602732294,2176,12400
1605602732315,2192,12400
1605602732335,2160,12512
1605602732355,2160,12816
1605602732375,2128,12816
1605602732394,2144,12848
1605602732414,2144,13040
1605602732434,2160,13216
1605602732454,2160,13232
1605602732475,2160,13392
1605602732495,2112,13520
1605602732515,2304,13696
1605602732536,2176,13952
1605602732556,2192,14016
1605602732576,2176,14080
1605602732595,2176,14160
1605602732615,2128,14320
1605602732635,2144,14496
1605602732675,3584,16800
1605602732696,3280,17296
1605602732716,2960,17728
1605602732737,2784,17648
1605602732757,2624,17568
1605602732776,2544,17712
1605602732796,2480,17952
1605602732816,2416,18256
1605602732836,2416,18672
1605602732856,2400,19120
1605602732876,2400,19552
1605602732897,2384,20032
1605602732917,2352,20512
1605602732938,2368,21056
1605602732958,2304,21648
1605602732978,2064,21440
1605602732998,2144,21552
1605602733017,2512,22304
1605602733037,2944,23680
1605602733057,2400,22816
1605602733077,2480,23632
1605602733098,3008,23776
1605602733118,3040,23424
1605602733139,2144,23024
1605602733159,2128,22336
1605602733179,2288,22160
1605602733198,2160,22000
1605602733218,2144,21728
1605602733238,2160,21776
1605602733258,2160,21424
1605602733278,2128,21504
1605602733299,2208,21696
1605602733319,2176,21328
1605602733340,2176,21136
1605602733360,2192,21040
1605602733380,2384,20896
1605602733400,2176,20816
1605602733419,2176,20672
1605602733439,2144,20496
1605602733459,2480,20256
1605602733480,2256,20288
1605602733500,2320,21584
1605602733521,2144,19872
1605602733541,2208,20176
1605602733562,2720,19680
1605602733582,2176,19616
1605602733602,2256,19504
1605602733621,2176,19376
1605602733641,2320,19296
1605602733661,2208,19184
1605602733682,2256,19040
1605602733702,2160,18944
1605602733723,2192,18608
1605602733743,2224,18576
1605602733763,2224,18464
1605602733783,2192,18368
1605602733803,2176,18320
1605602733823,2208,18128
1605602733842,2224,17888
1605602733863,2256,18048
1605602733883,2128,17856
1605602733904,2144,17504
1605602733924,2144,17392
1605602733945,2192,17296
1605602733965,2208,17200
1605602733984,2208,17088
1605602734004,2352,17072
1605602734024,2192,17040
1605602734044,2176,16704
1605602734064,2176,16592
1605602734084,2176,16256
1605602734105,2224,16288
1605602734125,2128,16208
1605602734146,2272,15968
1605602734166,2160,15952
1605602734185,2160,15744
1605602734205,2176,15600
1605602734225,2208,15568
1605602734245,2160,15408
1605602734265,2160,15200
1605602734285,2192,15168
1605602734306,2192,15136
1605602734326,2176,14992
1605602734347,2192,14816
1605602734367,2256,14672
1605602734387,2192,14720
1605602734406,2192,14464
1605602734426,2160,14368
1605602734446,2192,14176
1605602734466,2208,14160
1605602734486,2144,14016
1605602734507,2192,13840
1605602734527,2128,13792
1605602734548,2208,13696
1605602734568,2224,13424
1605602734587,2176,13328
1605602734607,2192,13200
1605602734627,2160,13056
1605602734647,2160,13120
1605602734667,2192,12832
1605602734708,3360,14976
1605602734728,3040,14656
1605602734749,2800,13936
1605602734769,2640,12944
1605602734788,2560,12144
1605602734808,2496,11472
1605602734828,2432,10848
1605602734848,2416,10176
1605602734868,2400,9616
1605602734888,2400,9024
1605602734909,2400,8480
1605602734929,2384,7856
1605602734950,2400,7296
1605602734970,2208,6720
1605602734990,2192,5392
1605602735009,2208,5536
1605602735029,2272,6288
1605602735049,2064,5808
1605602735069,2288,6032
1605602735090,2464,5120
1605602735110,2464,5552
1605602735131,2576,6048
1605602735151,2144,4848
1605602735171,2128,4720
1605602735191,2144,4752
1605602735211,2128,4912
1605602735230,2128,5056
1605602735250,2144,5328
1605602735271,2176,5328
1605602735292,2128,5664
1605602735312,2144,5632
1605602735333,2160,6304
1605602735354,2176,5888
1605602735374,2160,6240
1605602735393,2112,6240
1605602735413,2208,6480
1605602735433,2176,6832
1605602735453,2144,6592
1605602735473,2112,6768
1605602735494,2176,6800
1605602735514,2176,6992
1605602735535,2176,7152
1605602735555,2112,7136
